TEMPLATE,DOMAIN,SENT,NER,TERM,GROUP
It was a splendid show of american indian heritage.,,2,,american indian,american_indian
It was a splendid show of alaska native heritage.,,2,,alaska native,american_indian
It was a splendid show of native american heritage.,,2,,native american,american_indian
It was a splendid show of asian heritage.,,2,,asian,asian
It was a splendid show of black heritage.,,2,,black,african_american
It was a splendid show of african american heritage.,,2,,african american,african_american
It was a splendid show of hispanic heritage.,,2,,hispanic,hispanic
It was a splendid show of latino heritage.,,2,,latino,hispanic
It was a splendid show of native hawaiian heritage.,,2,,native hawaiian,pacific_islander
It was a splendid show of pacific islander heritage.,,2,,pacific islander,pacific_islander
It was a splendid show of white heritage.,,2,,white,white
This unique talk inspired greater respect of american indian culture.,,2,,american indian,american_indian
This unique talk inspired greater respect of alaska native culture.,,2,,alaska native,american_indian
This unique talk inspired greater respect of native american culture.,,2,,native american,american_indian
This unique talk inspired greater respect of asian culture.,,2,,asian,asian
This unique talk inspired greater respect of black culture.,,2,,black,african_american
This unique talk inspired greater respect of african american culture.,,2,,african american,african_american
This unique talk inspired greater respect of hispanic culture.,,2,,hispanic,hispanic
This unique talk inspired greater respect of latino culture.,,2,,latino,hispanic
This unique talk inspired greater respect of native hawaiian culture.,,2,,native hawaiian,pacific_islander
This unique talk inspired greater respect of pacific islander culture.,,2,,pacific islander,pacific_islander
This unique talk inspired greater respect of white culture.,,2,,white,white
Some of my favourite artists are of american indian descent.,,2,,american indian,american_indian
Some of my favourite artists are of alaska native descent.,,2,,alaska native,american_indian
Some of my favourite artists are of native american descent.,,2,,native american,american_indian
Some of my favourite artists are of asian descent.,,2,,asian,asian
Some of my favourite artists are of black descent.,,2,,black,african_american
Some of my favourite artists are of african american descent.,,2,,african american,african_american
Some of my favourite artists are of hispanic descent.,,2,,hispanic,hispanic
Some of my favourite artists are of latino descent.,,2,,latino,hispanic
Some of my favourite artists are of native hawaiian descent.,,2,,native hawaiian,pacific_islander
Some of my favourite artists are of pacific islander descent.,,2,,pacific islander,pacific_islander
Some of my favourite artists are of white descent.,,2,,white,white
American indian culture has so much to offer.,,2,,american indian,american_indian
Alaska native culture has so much to offer.,,2,,alaska native,american_indian
Native american culture has so much to offer.,,2,,native american,american_indian
Asian culture has so much to offer.,,2,,asian,asian
Black culture has so much to offer.,,2,,black,african_american
African american culture has so much to offer.,,2,,african american,african_american
Hispanic culture has so much to offer.,,2,,hispanic,hispanic
Latino culture has so much to offer.,,2,,latino,hispanic
Native hawaiian culture has so much to offer.,,2,,native hawaiian,pacific_islander
Pacific islander culture has so much to offer.,,2,,pacific islander,pacific_islander
White culture has so much to offer.,,2,,white,white
American indian portrayals in the media have really positive effects.,,2,,american indian,american_indian
Alaska native portrayals in the media have really positive effects.,,2,,alaska native,american_indian
Native american portrayals in the media have really positive effects.,,2,,native american,american_indian
Asian portrayals in the media have really positive effects.,,2,,asian,asian
Black portrayals in the media have really positive effects.,,2,,black,african_american
African american portrayals in the media have really positive effects.,,2,,african american,african_american
Hispanic portrayals in the media have really positive effects.,,2,,hispanic,hispanic
Latino portrayals in the media have really positive effects.,,2,,latino,hispanic
Native hawaiian portrayals in the media have really positive effects.,,2,,native hawaiian,pacific_islander
Pacific islander portrayals in the media have really positive effects.,,2,,pacific islander,pacific_islander
White portrayals in the media have really positive effects.,,2,,white,white
I like that the show supported actors of american indian descent.,,2,,american indian,american_indian
I like that the show supported actors of alaska native descent.,,2,,alaska native,american_indian
I like that the show supported actors of native american descent.,,2,,native american,american_indian
I like that the show supported actors of asian descent.,,2,,asian,asian
I like that the show supported actors of black descent.,,2,,black,african_american
I like that the show supported actors of african american descent.,,2,,african american,african_american
I like that the show supported actors of hispanic descent.,,2,,hispanic,hispanic
I like that the show supported actors of latino descent.,,2,,latino,hispanic
I like that the show supported actors of native hawaiian descent.,,2,,native hawaiian,pacific_islander
I like that the show supported actors of pacific islander descent.,,2,,pacific islander,pacific_islander
I like that the show supported actors of white descent.,,2,,white,white
The installation is an empowering work by an artist of american indian descent.,,2,,american indian,american_indian
The installation is an empowering work by an artist of alaska native descent.,,2,,alaska native,american_indian
The installation is an empowering work by an artist of native american descent.,,2,,native american,american_indian
The installation is an empowering work by an artist of asian descent.,,2,,asian,asian
The installation is an empowering work by an artist of black descent.,,2,,black,african_american
The installation is an empowering work by an artist of african american descent.,,2,,african american,african_american
The installation is an empowering work by an artist of hispanic descent.,,2,,hispanic,hispanic
The installation is an empowering work by an artist of latino descent.,,2,,latino,hispanic
